GeneID,control1,control2,control3,control4,control5,control6,control7,control8,control9
gene39,1851.053161,1769.994977,1434.222634,1610.34998,1537.291054,1309.746885,1731.390024,1386.944675,1342.326481
gene40,67.54720307,47.46043314,44.42282495,63.32423334,56.9367057,53.15309937,87.33192272,59.66340427,67.74220311
gene41,12.98984674,11.6324591,7.61534142,24.29883372,10.77180919,8.177399904,9.703546969,7.343188217,30.18946008
gene42,63.65024904,86.54549572,83.76875562,83.2050973,69.24734477,70.87079916,97.72858019,52.32021605,57.43360698
gene43,652.0903065,643.9729359,647.3040207,767.9904113,560.1340777,635.1113925,1011.248216,653.5437514,689.9396121
gene44,11.69086207,15.82014438,19.03835355,30.18946008,27.69893791,53.15309937,24.95197792,22.94746318,11.78125271
gene45,4119.080402,4266.785999,4003.13114,4934.872231,5758.301425,4076.433852,5142.186783,5232.021605,5149.880093
gene46,313.0553065,271.7342446,328.7289046,234.1523977,233.9021423,190.8059977,347.9414699,359.8162227,211.3262206
gene47,1205.457778,1313.071983,1102.955282,1201.687777,1255.685185,1178.908486,1599.005918,1873.430894,1516.836287
gene48,427.3659579,385.2670455,402.3438717,388.0450113,395.4792801,374.7974956,496.9602269,482.8146253,418.9707997
gene49,1154.797375,1205.122763,1222.262298,1125.109634,1149.505923,1395.609584,1906.746979,2200.20277,1196.533479
gene50,24.68070881,26.98730512,25.3844714,34.60742985,29.23776779,38.16119955,47.13151385,29.37275287,12.51758101
gene51,409.1801724,382.4752553,413.7668838,400.5625923,389.3239606,389.7893954,470.622028,426.8228151,484.5040179
gene52,201.3426245,188.4458375,182.7681941,125.1758101,123.1063907,132.2012984,182.2880609,159.7143437,187.7637151
gene53,4910.162069,4860.041413,5059.12515,5668.255212,5912.184414,4455.320047,4148.266329,4282.914528,5185.960179
gene54,32.47461686,23.73021657,25.3844714,22.08984884,21.54361837,25.89509969,54.06261883,23.86536171,24.29883372
gene55,594.9349808,472.2778395,517.8432165,443.2696334,417.0228985,389.7893954,412.4007462,391.9426711,480.0860481
gene56,271.4877969,240.5592542,266.5369497,209.853564,224.669163,173.088298,212.0918123,212.9524583,194.3906698
gene57,101.3208046,118.6510828,120.5762391,99.40431978,127.7228804,98.12879884,121.9874476,163.3859378,128.1211233
gene58,568.9552874,590.9289224,600.3427486,589.0626357,429.3335376,453.8456946,813.7117244,633.3499838,509.5391799
gene59,475.4283908,379.6834651,417.5745545,456.5235427,557.0564179,448.3940947,511.5155474,490.1578135,388.0450113
gene60,103.9187739,111.206309,90.11487347,75.84181435,66.169685,80.41109905,76.93526526,55.99181016,68.4785314
gene61,149.3832375,83.75370553,69.80729635,50.07032404,55.39787582,40.88699952,28.41753041,6.42528969,36.08008644
gene62,1037.888755,818.4598224,987.4559374,728.2286834,586.2941857,599.6759929,937.7785035,805.9149069,765.0450982
gene63,15.58781609,13.95895092,12.6922357,16.93555078,21.54361837,21.80639974,26.33819892,23.86536171,16.19922248
gene64,146.7852682,140.9854043,139.6145927,112.6582291,100.0239424,126.7496985,163.5740775,106.4762292,105.2949461
gene65,435.1598659,352.69616,394.7285302,347.5469551,353.9308733,337.999196,381.2107738,380.0099903,313.6758535
gene66,607.9248276,791.9378157,1182.916367,1209.787388,1308.005401,2258.325273,458.8391495,447.9344813,460.9415125
gene67,67.54720307,77.7048268,98.99943845,60.37892016,23.08244826,53.15309937,109.5114587,113.8194174,62.58790505
gene68,1373.026801,1293.99475,1153.724225,1129.527604,1012.550064,971.7476885,1595.540366,1492.503005,1253.230758
gene69,35.07258621,23.2649182,26.65369497,21.35352055,18.46595861,25.89509969,29.11064091,22.94746318,27.9804752
gene70,255.8999808,222.412618,260.1908318,291.5860047,472.4207743,414.3215951,728.4591332,621.4173029,299.6856159
gene71,922.2791188,1012.023942,1057.263234,978.5803036,980.234636,1251.142185,699.3484923,812.3401966,865.9220745
gene72,137.6923755,140.520106,158.6529462,94.98635001,46.16489651,64.05629924,128.2254421,30.2906514,65.53321823
gene73,3743.673831,3452.97916,2591.75453,3446.752747,2202.065564,1486.923882,4260.55023,3396.224551,3776.627823
gene74,70.14517241,83.28840717,96.46099131,134.7480779,93.86862291,134.9270984,264.7682102,307.4960066,264.3418578
gene75,11.69086207,8.375370553,20.30757712,11.04492442,1.538829884,9.540299887,11.78287846,7.343188217,11.04492442
gene76,161.0740996,115.8592927,92.6533206,237.0977109,160.0383079,177.1769979,108.1252377,9.178985272,157.5742551
gene77,77.93908046,117.7204861,106.6147799,89.09572366,66.169685,110.3948987,99.11480119,67.00659248,58.90626357
gene78,724.8334483,649.5565162,739.9573413,880.6486404,918.6814406,947.2154888,741.6282326,750.8409952,832.050973
gene79,967.7435824,956.1881382,849.1105683,1203.896762,1340.320829,1287.940485,1397.310764,1089.545552,1223.777626
gene80,1532.801916,1360.532417,1385.992138,1033.068597,1038.710172,1098.497387,1375.131228,1343.803444,1304.03741
gene81,4229.4941,4004.82302,3580.479691,3603.590674,2991.485294,2352.365372,3873.794572,3197.04057,3568.246916
gene82,381.9014943,325.2435565,379.4978474,343.1289853,296.9941676,351.6281959,415.8662987,252.422095,315.8848384
gene83,245.5081034,274.5260348,267.8061733,307.7852272,283.1446986,283.4831967,347.9414699,218.4598495,215.007862
gene84,3835.901743,3257.553847,3292.36594,2327.533739,1848.13469,1580.963981,2653.920096,2135.949873,2636.791623
gene85,3072.098755,2653.59657,2684.40785,2405.584539,2340.560253,2323.744473,3021.96177,3160.324629,2464.490802
gene86,239.0131801,202.4047884,246.2293726,252.5606051,207.7420343,264.4025969,292.4926301,130.3415909,189.2363717
gene87,79.23806513,126.0958567,135.806922,64.06056164,66.169685,92.67719891,92.18369621,49.56652047,42.70704109
gene88,76.64009579,72.12124643,92.6533206,98.66799149,132.33937,118.5722986,36.04174589,30.2906514,44.17969768
gene89,1654.906475,1749.056551,1710.913372,1435.103846,987.9287854,787.7561907,3314.4544,2778.478842,1896.045359
gene90,20.78375479,32.57088549,30.46136568,45.65235427,50.78138617,50.42729941,33.26930389,37.63383961,35.34375814
gene91,10.39187739,8.375370553,0,7.363282947,1.538829884,14.99189982,34.65552489,81.69296892,11.78125271
gene92,462.4385441,462.5065739,577.4967243,466.0958105,617.0707834,558.7889934,283.4821936,380.9278888,569.9181001
gene93,5606.417854,6778.001269,10240.09576,6258.054176,5545.942901,9784.258985,4065.09307,2125.852989,2618.383416
gene94,13792.61927,13337.77761,20996.76552,10420.51803,7923.435072,11487.88396,6314.929745,959.2039609,7162.265322
gene95,1970.559751,2921.14313,4117.361261,2426.938059,2817.597517,5188.560239,1084.717929,770.1168643,966.0627226
gene96,41571.40653,31268.51536,56721.60134,53478.78771,69933.6629,70182.53467,31533.75521,26943.99337,18023.844
gene97,920.9801341,824.5087011,861.802804,994.7795261,943.3027188,765.949791,1029.269089,670.0659248,950.5998284
gene98,231.219272,249.8652215,318.5751161,669.3224199,572.4447168,587.4098931,870.5467852,751.7588938,390.2539962
gene99,1165.189253,1646.225612,2114.526468,2300.289593,2123.58524,2962.944565,1724.458919,1939.519588,2080.127432
gene100,1786.103927,1824.900184,1538.298967,1575.742551,1412.645833,1050.795888,1886.646775,1479.652426,2072.027821
